"Season","Age","Tm","Lg","Pos","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","player","ID"
"2020-21",25,"LAL","NBA","C",8,112,17.1,0.965,0,0.706,8.1,18,13,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,0.235,-2,1.8,-0.2,0.1,"Damian Jones","jonesda03"
"2020-21",25,"SAC","NBA","C",17,341,15.9,0.691,0.057,0.5,6.7,18.5,12.5,9.4,1.3,4.2,14.9,12.7,0.7,0.2,0.9,0.132,-1,0.3,-0.6,0.1,"Damian Jones","jonesda03"
"2020-21",23,"POR","NBA","SF",58,1318,11.9,0.576,0.447,0.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,1.6,0.8,2.4,0.089,-1.4,0,-1.4,0.2,"Derrick Jones Jr.","jonesde02"
"2020-21",21,"SAS","NBA","PG",37,269,12.1,0.544,0.064,0.244,3.1,5.2,4.2,20,1.4,0,13.1,16.1,0.2,0.1,0.4,0.066,-2.2,-1.3,-3.5,-0.1,"Tre Jones","jonestr01"
"2020-21",24,"MEM","NBA","PG",70,1222,15,0.511,0.339,0.109,1.8,10.4,6.1,28.6,2.5,0.4,10,16.6,1.5,1.3,2.8,0.11,-0.1,0.9,0.8,0.9,"Tyus Jones","jonesty01"
"2020-21",32,"BRK","NBA","C",57,1246,17.1,0.736,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,2.4,1.5,3.9,0.152,0.1,1,1,0.9,"DeAndre Jordan","jordade01"
"2020-21",29,"TOT","NBA","PG",63,1446,12.5,0.556,0.31,0.207,2.7,9.7,6.1,21.4,2,1.1,14.5,16.3,1.3,0.8,2.1,0.069,-1.8,0,-1.8,0.1,"Cory Joseph","josepco01"
"2020-21",29,"SAC","NBA","PG",44,944,9.9,0.534,0.376,0.188,2.9,8.8,5.8,14.9,2,0.8,14,14.3,0.4,0.3,0.7,0.037,-3,-0.3,-3.3,-0.3,"Cory Joseph","josepco01"
"2020-21",29,"DET","NBA","PG",19,502,17.3,0.588,0.216,0.233,2.2,11.2,6.6,33.7,2.1,1.6,15.3,19.9,0.8,0.5,1.4,0.13,0.5,0.4,0.9,0.4,"Cory Joseph","josepco01"
"2020-21",23,"TOT","NBA","PF",39,280,9.5,0.486,0.562,0.225,4.7,19.4,12,8.7,1.4,4.1,13.3,17.7,-0.2,0.3,0.2,0.026,-4.3,0.1,-4.3,-0.2,"Mfiondu Kabengele","kabenmf01"
"2020-21",23,"LAC","NBA","PF",23,94,1.4,0.39,0.563,0.188,1.2,15.1,8.4,6.9,1.1,2.8,14.8,19.2,-0.3,0.1,-0.1,-0.075,-9.2,-0.9,-10.1,-0.2,"Mfiondu Kabengele","kabenmf01"
"2020-21",23,"CLE","NBA","PF",16,186,13.7,0.538,0.561,0.246,6.5,21.6,13.8,9.7,1.6,4.8,12.5,16.9,0.1,0.2,0.3,0.078,-1.9,0.6,-1.3,0,"Mfiondu Kabengele","kabenmf01"
"2020-21",27,"PHO","NBA","C",47,715,15.8,0.547,0.331,0.233,5.8,23.7,14.9,15.3,1,2.1,7.2,19,1.1,0.9,2,0.133,0.4,0.8,1.3,0.6,"Frank Kaminsky","kaminfr01"
"2020-21",24,"LAC","NBA","SG",63,1232,12.7,0.608,0.541,0.075,1.4,13,7.3,11.9,0.9,0.7,10.1,17.1,1.6,1.1,2.7,0.105,0.3,-0.5,-0.2,0.6,"Luke Kennard","kennalu01"
