"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","player","ID"
"2020-21",24,"SAC","NBA","PF","4","0","2.3","0.3","0.8","0.333","0","0",NA,"0.3","0.8","0.333","0.333","0","0",NA,"0","0.5","0.5","0","0","0.3","0.3","1","0.5","Chris Silva","silvach01"
"2020-21",24,"PHI","NBA","PG","58","58","32.4","5.6","10.1",".557","0.1","0.2",".300","5.6","9.9",".562",".560","3.0","4.9",".613","1.6","5.6","7.2","6.9","1.6","0.6","3.0","2.9","14.3","Ben Simmons","simmobe01"
"2020-21",21,"POR","NBA","SG","64","0","17.3","2.6","6.3","0.419","1.9","4.4","0.426","0.8","1.9","0.403","0.569","0.7","0.9","0.807","0.2","2","2.2","1.4","0.3","0.1","0.7","1.5","7.8","Anfernee Simons","simonan01"
"2020-21",26,"BOS","NBA","PG","48","45","32.9","4.2","10.6","0.398","1.9","5.9","0.33","2.3","4.8","0.482","0.489","2.7","3.4","0.79","0.8","2.7","3.5","5.7","1.5","0.5","2","2.6","13.1","Marcus Smart","smartma01"
"2020-21",23,"TOT","NBA","PG","23","9","18.3","2.5","6.3","0.4","0.8","2.5","0.328","1.7","3.8","0.448","0.466","0.8","1.1","0.731","0.5","1.9","2.4","3.3","1","0.6","1.1","1.6","6.7","Dennis Smith Jr.","smithde03"
"2020-21",23,"NYK","NBA","PG","3","0","9.3","0.7","3.3","0.2","0","1.3","0","0.7","2","0.333","0.2","1.7","2","0.833","0","0.7","0.7","1","1","0","0.3","1.3","3","Dennis Smith Jr.","smithde03"
"2020-21",23,"DET","NBA","PG","20","9","19.6","2.8","6.8","0.415","1","2.7","0.352","1.9","4.1","0.457","0.485","0.7","1","0.7","0.6","2.1","2.7","3.7","1","0.7","1.3","1.7","7.3","Dennis Smith Jr.","smithde03"
"2020-21",32,"WAS","NBA","PG","44","1","21","2.9","6.8","0.434","0.4","1.1","0.367","2.5","5.6","0.448","0.465","0.4","0.8","0.576","0.5","2.9","3.4","3.9","0.7","0.3","0.9","1.4","6.7","Ish Smith","smithis01"
"2020-21",20,"PHO","NBA","PF","27","1","5.8","0.8","1.9","0.44","0.1","0.6","0.235","0.7","1.2","0.545","0.48","0.2","0.3","0.714","0.3","1.1","1.4","0.1","0","0.2","0.3","0.6","2","Jalen Smith","smithja04"
"2020-21",23,"CLE","NBA","PF","40","0","12.5","1.6","3.4","0.456","0.1","0.6","0.16","1.5","2.8","0.523","0.471","0.9","1.3","0.725","0.6","1.8","2.4","0.6","0.4","0.3","0.6","1.3","4.1","Lamar Stevens","stevela01"
"2020-21",19,"DET","NBA","C","68","14","21.4","3.3","6","0.553","0.3","0.9","0.333","3","5.1","0.592","0.578","0.9","1.4","0.696","2.3","4.3","6.7","0.9","0.6","1.3","1","2.7","7.9","Isaiah Stewart","stewais01"
"2020-21",24,"MIA","NBA","SF","39","0","13","2.2","4.8","0.455","1.3","3.8","0.338","0.9","1","0.897","0.588","0.4","0.6","0.667","0.1","0.9","1.1","0.6","0.3","0.1","0.2","1.1","6.1","Max Strus","strusma01"
